ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Venomoth 2,Venomoth,Rival (Lab),00:00:34.46,00:00:43.68,00:02:20.03,6,0,0,0,43,68,CONFUSION,DISABLE,SUPERSONIC,TACKLE,14,14,17,17,17,0,-2,0,0,0,0,0,14,7,17,17,17,10339,4945,3430,0,1964,0,0,0,73,73,0,0,8,2,1,1,0,0,24,21,9,9,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Venomoth 2,Venomoth,Brock,00:02:38.03,00:02:55.70,00:11:01.43,10,0,0,2,55,70,CONFUSION,DISABLE,SUPERSONIC,TACKLE,21,20,26,26,26,0,-2,0,0,0,0,0,21,10,26,26,26,41639,23744,15931,0,1964,0,0,0,719,719,0,0,34,6,4,2,0,0,208,178,47,47,22,2,13,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,918,0,0,0,0,1,0,0,0,0,0,0,7,0,Flareon
Venomoth 2,Venomoth,Rival (Nugget Bridge),00:06:26.11,00:06:49.93,00:26:26.18,19,0,0,6,49,93,CONFUSION,DISABLE,SUPERSONIC,TACKLE,37,35,46,46,46,-2,0,0,0,0,-1,0,20,35,46,46,46,97114,45053,48885,1212,1964,1,0,0,1404,1404,0,0,66,15,13,2,0,0,1401,1045,132,132,73,11,35,0,0,0,0,0,14,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,33,5837,0,0,0,0,3,7,0,0,0,0,0,7,0,Flareon
Venomoth 2,Venomoth,Oddish Lass,00:08:58.62,00:09:08.66,00:35:33.22,22,0,0,9,8,66,CONFUSION,DISABLE,SUPERSONIC,TACKLE,43,40,53,53,53,0,0,0,0,0,0,0,48,40,53,53,53,129938,54190,72572,1212,1964,1,0,0,1610,1610,0,0,86,25,23,2,0,0,2680,1939,154,154,101,12,39,0,0,0,0,0,19,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,56,10538,0,0,0,0,4,7,0,0,0,0,0,7,0,Flareon
Venomoth 2,Venomoth,Misty,00:10:00.29,00:10:23.10,00:40:27.51,23,0,0,10,23,10,CONFUSION,BIDE,SUPERSONIC,TACKLE,44,42,55,55,56,0,0,0,0,0,0,0,49,42,55,55,56,147607,61799,80627,3217,1964,2,0,0,1788,1788,0,0,99,27,25,2,0,0,2837,2088,231,231,109,13,45,0,0,0,0,0,20,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,3,0,0,0,0,0,59,12328,0,0,0,0,5,7,0,0,0,1,0,7,0,Flareon
Venomoth 2,Venomoth,Rocket,00:10:42.60,00:10:59.05,00:42:49.55,24,0,0,10,59,5,CONFUSION,BIDE,SUPERSONIC,TACKLE,46,44,58,58,58,0,0,0,0,0,0,0,51,44,58,58,58,156131,65259,85153,3755,1964,3,0,0,1877,1877,0,0,106,28,26,2,0,0,2995,2191,261,261,115,13,50,0,0,0,0,0,21,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,3,0,0,0,0,0,61,13017,0,0,0,0,5,7,0,0,0,1,0,7,0,Flareon
Venomoth 2,Venomoth,Rival (SS Anne),00:12:28.47,00:12:43.97,00:49:43.04,25,0,0,12,43,97,CONFUSION,BIDE,SUPERSONIC,TACKLE,48,46,60,60,61,-1,0,0,0,0,-1,0,34,46,60,60,61,180920,74502,98581,5873,1964,3,0,0,2184,2184,0,0,119,32,30,2,0,0,3739,2683,340,340,136,18,62,0,0,0,0,0,25,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,3,0,0,0,0,0,72,16238,0,0,0,0,7,15,0,0,0,1,0,7,0,Flareon
Venomoth 2,Venomoth,Lt. Surge,00:13:44.16,00:13:51.84,00:53:21.28,26,1,0,13,51,84,CONFUSION,BIDE,SUPERSONIC,TACKLE,50,48,62,62,63,0,0,0,0,0,0,0,56,48,62,62,63,194029,81113,100915,9882,2119,4,1,0,2361,2361,0,0,132,33,31,2,0,0,3877,2759,409,409,136,18,64,0,0,0,0,0,25,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,3,0,0,0,0,0,73,16970,0,0,0,0,7,15,0,0,0,3,0,7,1,Flareon
Venomoth 2,Venomoth,RTG1 - Wrapping Lass,00:14:42.52,00:14:54.21,00:57:27.00,27,1,0,14,54,21,CONFUSION,LEECH LIFE,SUPERSONIC,TACKLE,52,49,65,65,65,0,0,0,0,0,0,0,58,55,65,65,65,208761,89097,104272,13273,2119,4,1,0,2554,2502,52,0,148,34,32,2,0,0,4173,2949,409,409,140,18,64,0,0,0,0,0,25,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,3,0,0,0,0,0,77,18218,0,0,0,0,7,15,0,0,0,4,0,7,1,Flareon
Venomoth 2,Venomoth,RTG4 - Status Jr Trainer,00:15:51.06,00:15:58.46,01:01:40.33,28,1,0,15,58,46,CONFUSION,LEECH LIFE,SUPERSONIC,TACKLE,54,51,67,67,68,0,0,0,0,0,0,0,60,57,67,67,68,223974,92213,116026,13616,2119,4,1,0,2753,2502,251,0,164,38,36,2,0,0,4880,3437,512,512,155,18,72,0,0,0,0,0,29,0,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,3,0,0,0,0,0,85,21098,0,0,0,0,7,15,0,0,0,4,0,7,1,Flareon
